타임스탬프,1. 종합비타민 등 영양제를 섭취한 경험이 있습니까?,1-1. 섭취하신 영양제 종류를 모두 골라주세요.,2. 종합비타민 등 영양제를 구매한 경험이 있습니까?,"3. 비타민B군 영양제를 섭취한 경험이 있습니까? (아로나민골드, 비맥스메타, 엑세라민비, 임팩타민, 벤포벨 등)",4. 비타민B군 영양제를 구매한 경험이 있습니까?,5. 어떤 상황에서 특히 건강을 잘 챙겨야겠다고 느끼십니까? (답변 필수는 아니지만 연구에 많은 도움이 됩니다.),6. 어떤 상황에서 특히 피로하다고 느끼십니까? (답변 필수는 아니지만 연구에 많은 도움이 됩니다.),1. 향후 비타민B군 영양제를 구매할 의향이 있으십니까?,1-1. 구매할 의향이 있다면 그 이유는 무엇입니까? (중복체크),1-2. 구매할 의향이 없다면 그 이유는 무엇입니까? (중복체크),2. 아로나민골드/아로나민골드프리미엄에 대해 알고 계십니까?,3. 아로나민골드/아로나민골드프리미엄 제품을 구매한 경험이 있습니까?,4. 향후 아로나민골드/아로나민골드프리미엄을 구매할 의향이 있으십니까?,5. 비맥스메타/비맥스액티브/엑세라민비/임팩타민프리미엄/벤포벨 제품을 구매한 경험이 있습니까?,"6. 비타민B군 영양제를 섭취한 경험이 있는 경우, 효과가 있다고 느끼셨습니까?","7. 비타민B군 영양제를 섭취한 경험이 있는 경우, 부작용이 있으셨습니까? (있는 경우 증상을 기타에 적어주세요)",1. 나는 비타민B군 영양제에 관심이 있다,2. 나에게 비타민B군 영양제는 중요하다,3. 나에게 비타민B군 영양제는 가치가 있다,4. 나에게 비타민B군 영양제는 유용하다,5. 내가 비타민B군 영양제를 섭취했다면 해당 영양제는 (누가) 구매했을 것이다,6. 내가 비타민B군 영양제를 구매한다면 (누가) 섭취하는 것으로 상정하고 구매할 것이다,1. 비타민 등을 구매할 때 중요하게 고려하는 사항은 무엇입니까? (중복허용),2. 비타민B군 영양제의 가격은 제품을 섭취/구매하는 데 있어 중요하게 작용한다,3. 비타민B군 영양제의 적정 가격 수준은 얼마라고 생각하십니까?,4. 비타민B군 영양제의 성분 및 함량은 제품을 섭취/구매하는 데 있어 중요하게 작용한다,5. 비타민B군 영양제의 브랜드 인지도 및 이미지는 제품을 섭취/구매하는 데 있어 중요하게 작용한다,6. 비타민B군 영양제를 약국에서만 구매할 수 있는 경우 구매할 의향이 있다 (온라인몰 등 불가),7. 비타민B군 영양제를 해외직구로 구매할 수 있는 경우 구매할 의향이 있다 ,1. 평소 일상적으로 사용하시는 항목을 모두 골라주세요,2. 평소 원하는 정보를 얻기 위해서 사용하시는 정보원을 모두 골라주세요,3. 나는 평소 제품을 구매할 때 제품의 특징을 면밀히 살펴보고 구매한다,4. 나는 평소 제품을 구매할 때 다른 제품과 비교해보고 구매한다,1. 나는 건강에 대해 관심이 많다,2. 나는 식사와 영양에 관심이 많다,3. 나는 식품을 구매할 때 포장지 뒷면의 영양성분표시 부분을 확인한다,4. 평소 운동을 얼마나 자주 하십니까? (30분 이상 숨 차는 강도),5. 본인이 건강을 위해 중요하다고 생각하고 실천 중인 건강관리 방법은 무엇입니까?,1. 나는 건강하다고 생각한다,2. 하루 평균 수면시간은 어떻게 되십니까?,3. 음주를 얼마나 자주 하십니까?,4. 커피를 얼마나 자주 마십니까?,5. 담배를 피우십니까?,5-1. 하루 평균 흡연량이 얼마나 되십니까?,"6. 현재 앓고 있는 질병이 있거나, 과거에 질병을 앓은 적이 있습니까?",1. 본인의 성별은?,2. 본인의 나이는?,3. 결혼 여부,4. 가구 수,5. 최종학력,6. 직업,7. 소득 수준 (주부의 경우 가구 소득 수준),
2022/06/07 3:29:06 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;무기질 (마그네슘, 칼슘, 철분 등);오메가3;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",예,예,예,건강에 이상이 생겼다고 느꼈을때,매일매일,잘 모르겠음 (2번으로 이동),,,예,아니오,아니오,예,아니오,아니오,3,3,2,2,5,1,주변의 효과와 경험담 소개;적정 가격,5,2~3만원 미만,5,3,3,4,유튜브;인스타그램;페이스북;지식인;신문/뉴스포털,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등);지식인;지인",3,4,3,3,4,주 3~5회,규칙적인 운동;좋은 식습관,4,5시간 미만,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,남자,20대,미혼,3~5인 가구,대학교 졸업,전문직,월 200~300만원 미만,
2022/06/07 3:29:26 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;밀크씨슬, 우루사 등 (간 건강)",아니오,예,아니오,술먹기전 컨디션,술 많이 먹고 잠 못잔날,잘 모르겠음 (2번으로 이동),,,예,아니오,아니오,아니오,아니오,아니오,1,1,1,1,1,1,관심이 없음,2,1~2만원 미만,2,2,1,1,유튜브;페이스북;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);지식인;TV시청;라디오 청취;신문/뉴스포털,"유튜브;포털사이트 (구글, 네이버, 다음 등);네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);지식인;TV시청;라디오 청취;신문/뉴스포털;지인",5,5,3,4,4,주 1~2회,규칙적인 운동,3,6~8시간,일주일에 2~3회,하루에 2잔 이상,예 (5-1번으로 이동),5개비 미만,없다,남자,40대,기혼,3~5인 가구,대학교 재학,전문직,월 700만원 이상,
2022/06/07 3:30:30 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;오메가3;루테인, 지아잔틴 등 (눈 건강)",예,아니오,아니오,몸이 피곤해서 무기력해지는 느낌이 들 때입니다 ,잠을 평소보다 늦게 잘때 또는 전날 일을 많이 할때 입니다,잘 모르겠음 (2번으로 이동),,,예,아니오,아니오,아니오,,,3,3,2,2,4,4,제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격,5,2~3만원 미만,4,4,5,1,유튜브;페이스북,"유튜브;포털사이트 (구글, 네이버, 다음 등);온라인/모바일앱 커뮤니티 (네이버카페 외);지인",4,2,5,4,3,거의 안한다,"좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",4,5~6시간,한달에 1~2회,전혀 마시지 않는다,예 (5-1번으로 이동),10~20개비 미만,없다,남자,20대,미혼,3~5인 가구,대학교 재학,학생,월 100만원 미만,
2022/06/07 3:30:58 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;오메가3;유산균;루테인, 지아잔틴 등 (눈 건강)",예,아니오,아니오,피고함을 느낄때.,,예 (1-1번으로 이동),피로회복을 위해;불규칙한 식사의 영양소 보충을 위해;질병의 예방 및 치료를 위해;일상의 활력 충전을 위해;피부 미용을 위해,,예,아니오,예,아니오,,,4,4,4,4,1,1,"주변의 효과와 경험담 소개;제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;제품의 형태(알약, 분말, 액상, 발포형)",4,2~3만원 미만,5,3,2,2,유튜브;인스타그램;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등);온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청",4,4,4,4,4,주 3~5회,정기적인 건강검진,4,5시간 미만,한달에 3~4회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,50대,미혼,1인 가구,대학교 졸업,사무직,월 700만원 이상,
2022/06/07 3:31:18 오후 GMT+9,예 (1-1번으로 이동),"비타민C;비타민B;오메가3;유산균;루테인, 지아잔틴 등 (눈 건강)",아니오,예,아니오,,,예 (1-1번으로 이동),피로회복을 위해,,예,아니오,예,예,예,아니오,4,4,4,4,5,5,주변의 효과와 경험담 소개,4,1~2만원 미만,4,4,3,2,유튜브;인스타그램,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등)",4,4,4,4,2,한달 1~2회 정도,규칙적인 운동;좋은 식습관,4,5~6시간,한달에 3~4회,하루에 1잔,아니오 (6번으로 이동),,없다,남자,20대,미혼,1인 가구,대학원,학생,월 100~200만원 미만,
2022/06/07 3:32:15 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민B;무기질 (마그네슘, 칼슘, 철분 등);유산균;루테인, 지아잔틴 등 (눈 건강)",예,예,예,아침에 피로감이 극심할때,출근할때,예 (1-1번으로 이동),피로회복을 위해;일상의 활력 충전을 위해;건강 유지를 위해,,예,아니오,아니오,예,아니오,아니오,4,3,3,3,2,3,"적정 가격;판매처(온라인, 약국, 건강기능식품 매장, 해외직구 등)",4,3~4만원 미만,3,5,5,2,유튜브;인스타그램,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등)",3,3,5,4,4,주 3~5회,규칙적인 운동;규칙적인 생활,4,6~8시간,일주일에 2~3회,하루에 2잔 이상,아니오 (6번으로 이동),,있다,여자,20대,미혼,1인 가구,대학교 졸업,사무직,월 300~400만원 미만,
2022/06/07 3:34:43 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;유산균;밀크씨슬, 우루사 등 (간 건강)",예,예,예,피곤할때,어깨가 아플때,예 (1-1번으로 이동),피로회복을 위해;건강 유지를 위해,,예,예,예,아니오,아니오,아니오,4,4,4,4,4,2,주변의 효과와 경험담 소개;제조사(상표) 신뢰도,4,3~4만원 미만,5,4,4,3,유튜브;인스타그램;페이스북,"유튜브;페이스북;포털사이트 (구글, 네이버, 다음 등)",4,4,4,4,3,주 1~2회,"규칙적인 운동;규칙적인 생활;비타민, 무기질 등 영양제 섭취;정기적인 건강검진",3,5~6시간,일주일에 2~3회,하루에 2잔 이상,금연중 (6번으로 이동),,없다,남자,50대,기혼,3~5인 가구,대학교 재학,사무직,월 600~700만원 미만,
2022/06/07 3:35:37 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;오메가3;유산균;밀크씨슬, 우루사 등 (간 건강)",예,아니오,아니오,헬스조선 기사볼때,생리할 때,잘 모르겠음 (2번으로 이동),,,예,아니오,아니오,아니오,,,3,4,4,2,4,1,"주변의 효과와 경험담 소개;제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;제품의 형태(알약, 분말, 액상, 발포형)",2,2~3만원 미만,4,4,2,2,유튜브;인스타그램;TV시청,유튜브;인스타그램;TV시청;신문/뉴스포털,2,4,5,5,5,주 1~2회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",3,5~6시간,한달에 1~2회,일주일에 1~3잔,아니오 (6번으로 이동),,있다,여자,20대,미혼,3~5인 가구,대학원,사무직,,
2022/06/07 3:35:42 오후 GMT+9,예 (1-1번으로 이동),종합비타민,예,아니오,아니오,매일 운동 할 때,배고플때,아니오 (1-2번으로 이동),,건강하기 때문에 필요성을 느끼지 못한다,아니오,아니오,아니오,아니오,아니오,아니오,1,1,1,1,5,1,적정 가격,5,1~2만원 미만,3,5,2,1,유튜브;인스타그램;네이버카페,유튜브;지인,2,5,4,5,2,주 3~5회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",3,6~8시간,전혀 마시지 않는다,전혀 마시지 않는다,아니오 (6번으로 이동),,없다,남자,20대,미혼,3~5인 가구,고졸이하,자영업,월 300~400만원 미만,
2022/06/07 3:38:30 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균",예,예,예,건강이 악화되어 수치가 나빠졌거나 병원에 입원후,스트레스를 지속적으로 받을때,예 (1-1번으로 이동),피로회복을 위해;의사/약사 등 전문가의 권유에 의해,가격이 비싸다;균형잡힌 식생활 만으로 충분하다,예,예,예,아니오,아니오,아니오,2,3,3,3,3,4,주변의 효과와 경험담 소개;제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량,3,2~3만원 미만,3,2,4,2,유튜브;TV시청;라디오 청취;신문/뉴스포털,유튜브;TV시청;라디오 청취;신문/뉴스포털;지인,4,4,4,4,4,주 3~5회,규칙적인 운동;좋은 식습관;정기적인 건강검진,2,6~8시간,한달에 1~2회,일주일에 1~3잔,아니오 (6번으로 이동),,있다,여자,50대,기혼,3~5인 가구,대학교 졸업,주부,월 600~700만원 미만,
2022/06/07 3:40:07 오후 GMT+9,예 (1-1번으로 이동),종합비타민,아니오,아니오,아니오,쉬어도 피로가 안 풀릴 때,할 일이 많을 때,잘 모르겠음 (2번으로 이동),,,아니오,아니오,아니오,아니오,,,2,2,2,2,4,1,주변의 효과와 경험담 소개;제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격,4,2~3만원 미만,5,4,4,1,유튜브;인스타그램,"포털사이트 (구글, 네이버, 다음 등);신문/뉴스포털",5,5,4,4,3,주 3~5회,규칙적인 운동;좋은 식습관;정기적인 건강검진,4,6~8시간,한달에 1~2회,전혀 마시지 않는다,아니오 (6번으로 이동),,없다,여자,20대,미혼,1인 가구,대학교 졸업,백수,소득 없음,
2022/06/07 3:43:15 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",예,예,예,급격한 체력 변화를 느낄 때,음주 후 또는 불규칙한 수면 후,예 (1-1번으로 이동),피로회복을 위해;불규칙한 식사의 영양소 보충을 위해;일상의 활력 충전을 위해;피부 미용을 위해;건강 유지를 위해,효과가 없다,예,아니오,예,아니오,아니오,아니오,3,4,4,4,4,4,주변의 효과와 경험담 소개;제조사(상표) 신뢰도;원하는 성분과 그 함량,5,2~3만원 미만,4,5,4,5,유튜브;인스타그램;지식인;신문/뉴스포털,네이버카페;지식인;신문/뉴스포털,5,5,4,5,5,매일한다,규칙적인 운동;좋은 식습관;규칙적인 생활,5,5~6시간,일주일에 4~5회,일주일에 1~3잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 재학,프리랜서,월 100~200만원 미만,
2022/06/07 3:44:21 오후 GMT+9,예 (1-1번으로 이동),비타민C,예,아니오,아니오,조금만 아파도 신체나 정신적으로 큰 타격이 있을때,퇴근 후 집가는 지하철에서 피로가 극심해짐,아니오 (1-2번으로 이동),,먹고있는 약에 의한 부작용우려,예,아니오,아니오,아니오,아니오,아니오,2,3,3,3,5,5,"제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;판매처(온라인, 약국, 건강기능식품 매장, 해외직구 등)",1,3~4만원 미만,5,2,3,1,유튜브;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청,"유튜브;포털사이트 (구글, 네이버, 다음 등)",4,4,5,5,3,주 1~2회,좋은 식습관;규칙적인 생활,1,5~6시간,한달에 1~2회,일주일에 1~3잔,아니오 (6번으로 이동),,있다,남자,20대,미혼,2인 가구,전문대 졸,사무직,월 200~300만원 미만,
2022/06/07 3:46:00 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균",예,아니오,아니오,,,예 (1-1번으로 이동),피로회복을 위해;건강 유지를 위해,,예,아니오,예,아니오,,,5,5,5,5,3,5,주변의 효과와 경험담 소개;제조사(상표) 신뢰도,,2~3만원 미만,5,5,5,3,유튜브;네이버카페;TV시청;신문/뉴스포털,"유튜브;포털사이트 (구글, 네이버, 다음 등);TV시청;신문/뉴스포털;지인",4,3,5,5,3,주 1~2회,규칙적인 운동,4,5~6시간,한달에 1~2회,하루에 2잔 이상,아니오 (6번으로 이동),,있다,여자,50대,기혼,3~5인 가구,대학교 졸업,주부,월 700만원 이상,
2022/06/07 3:46:15 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민B;루테인, 지아잔틴 등 (눈 건강)",아니오,예,아니오,"아침에 눈이 잘 뜨이지 않을 때, 언덕/계단 올라가는데 힘들 때, 오래 앉아있다가 허리가 아플 때",저녁식사 직후,잘 모르겠음 (2번으로 이동),,,예,아니오,아니오,아니오,아니오,아니오,3,2,2,3,4,4,주변의 효과와 경험담 소개;제조사(상표) 신뢰도;적정 가격,5,2~3만원 미만,4,4,3,3,유튜브,"유튜브;포털사이트 (구글, 네이버, 다음 등)",3,4,3,3,2,주 3~5회,규칙적인 운동,3,6~8시간,일주일에 2~3회,하루에 2잔 이상,아니오 (6번으로 이동),,없다,남자,20대,미혼,3~5인 가구,대학교 졸업,학생,월 100~200만원 미만,
2022/06/07 3:47:26 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;오메가3;유산균;루테인, 지아잔틴 등 (눈 건강)",예,아니오,예,몸이 예전같지 않다고 느낄때,신경 많이 쓰고 일 많이 하고 난후,잘 모르겠음 (2번으로 이동),,종합비타민으로 될것 같아서,예,아니오,아니오,예,,,3,3,3,2,1,4,제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;적정 가격,4,3~4만원 미만,4,4,4,3,유튜브;인스타그램;네이버카페;지식인;TV시청;신문/뉴스포털,"유튜브;포털사이트 (구글, 네이버, 다음 등);네이버카페;TV시청",4,5,4,4,3,주 1~2회,규칙적인 운동;좋은 식습관;규칙적인 생활,3,6~8시간,일주일에 2~3회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,50대,기혼,3~5인 가구,대학교 졸업,주부,월 600~700만원 미만,
2022/06/07 3:48:51 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민B;무기질 (마그네슘, 칼슘, 철분 등);유산균;루테인, 지아잔틴 등 (눈 건강)",예,예,아니오,몸이 예전 같지 않을 때..(상처가 잘 낫지 않는 등 회복이 더딜 때),잠을 잘 자지 못 했을 때,잘 모르겠음 (2번으로 이동),,가격이 비싸다;균형잡힌 식생활 만으로 충분하다;종합을 먹어서 b만 따로 먹을 필요성을 못 느낍니다,예,아니오,아니오,아니오,예,아니오,2,2,2,3,1,1,제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격,4,2~3만원 미만,4,3,2,1,유튜브;인스타그램,"포털사이트 (구글, 네이버, 다음 등);네이버카페",5,5,4,4,5,주 1~2회,특별히 신경쓰지 않는다,3,6~8시간,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,1인 가구,대학교 졸업,무직,소득 없음,
2022/06/07 3:50:48 오후 GMT+9,예 (1-1번으로 이동),종합비타민;비타민C;비타민D;비타민B;오메가3;유산균,예,예,예,피로감,아침 일어날때나 회식후,예 (1-1번으로 이동),피로회복을 위해;질병의 예방 및 치료를 위해;건강 유지를 위해,,예,아니오,아니오,예,예,아니오,4,4,4,4,4,4,주변의 효과와 경험담 소개;제조사(상표) 신뢰도,4,1~2만원 미만,4,4,4,2,유튜브;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청,"유튜브;포털사이트 (구글, 네이버, 다음 등)",3,3,5,4,4,주 1~2회,규칙적인 운동;좋은 식습관,4,5~6시간,한달에 3~4회,한달에 1~3잔,아니오 (6번으로 이동),,없다,여자,40대,기혼,3~5인 가구,전문대 졸,전문직,월 700만원 이상,
2022/06/07 3:50:49 오후 GMT+9,예 (1-1번으로 이동),종합비타민;오메가3;유산균,예,예,아니오,운동해도 예전같지 않을 때,,예 (1-1번으로 이동),피로회복을 위해;일상의 활력 충전을 위해;건강 유지를 위해,,아니오,아니오,아니오,아니오,아니오,아니오,2,2,3,3,4,3,제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량,3,1~2만원 미만,4,5,4,3,유튜브;인스타그램;네이버카페,"유튜브;포털사이트 (구글, 네이버, 다음 등)",4,5,4,4,4,주 3~5회,규칙적인 운동;규칙적인 생활,4,5~6시간,한달에 1~2회,전혀 마시지 않는다,아니오 (6번으로 이동),,없다,남자,20대,미혼,1인 가구,대학원,프리랜서,월 700만원 이상,
2022/06/07 3:52:49 오후 GMT+9,예 (1-1번으로 이동),종합비타민;비타민C;비타민D;오메가3;유산균,예,아니오,아니오,"건강을 잃으면 모든걸 다 잃는다고 생각
",정신적 스트레스,아니오 (1-2번으로 이동),피로회복을 위해;일상의 활력 충전을 위해;피부 미용을 위해,종합비타민 복용으로 만족,예,아니오,아니오,아니오,아니오,복용 경험 무,3,2,3,2,4,4,제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격,5,1~2만원 미만,4,4,1,4,유튜브;페이스북;트위터,"페이스북;포털사이트 (구글, 네이버, 다음 등)",5,5,5,5,4,주 3~5회,규칙적인 운동;좋은 식습관;규칙적인 생활;정기적인 건강검진,4,6~8시간,전혀 마시지 않는다,하루에 2잔 이상,아니오 (6번으로 이동),,없다,여자,50대,기혼,3~5인 가구,대학교 졸업,자영업,월 500~600만원 미만,
2022/06/07 3:53:17 오후 GMT+9,예 (1-1번으로 이동),종합비타민,예,예,아니오,요즘 학교도 다니면서 일도 하다보니 자주 피로해하며 그 이유를 찾아보니 그 중 한가지가 비타민 부족이라는걸 알아서 챙겨먹기 시작했습니다.,일할때,예 (1-1번으로 이동),피로회복을 위해;일상의 활력 충전을 위해,,예,아니오,아니오,아니오,예,아니오,3,4,4,4,4,4,주변의 효과와 경험담 소개;제조사(상표) 신뢰도;원하는 성분과 그 함량;적정 가격,5,2~3만원 미만,3,4,3,4,유튜브;인스타그램;페이스북,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등);네이버카페;지식인;지인",5,5,4,5,4,주 1~2회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",5,5~6시간,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,남자,20대,미혼,3~5인 가구,대학교 재학,학생,소득 없음,
2022/06/07 3:53:37 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;밀크씨슬, 우루사 등 (간 건강)",예,예,예,"건강검진 후 결과가 경계일 경우, 피로감이 심하게 느껴지거나 체력이 부족하다고 느낄 때, 호되게 아픈 이후, 코로나 백신 접종 전후","호르몬 주기에 따라 피로감이 달라지는 것 같으며, 일반적으로는 밤샘 작업 등으로 수면 패턴이 달라지는 경우, 고도의 집중력을 요하는 프로젝트를 진행 후 등",예 (1-1번으로 이동),피로회복을 위해;일상의 활력 충전을 위해,,예,예,예,예,예,아니오,5,4,4,4,1,1,"제조사(상표) 신뢰도;광고 여부에 따라, 예를 들어 tv에서 이런 브랜드가 있는데 이런 효과가 있다고 광고했을 경우 다른 생소한 브랜드에 비해 손이 간다 신생 브랜드라 하더라도",3,2~3만원 미만,4,4,4,5,유튜브;인스타그램;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외);TV시청,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등);온라인/모바일앱 커뮤니티 (네이버카페 외)",5,5,5,5,4,주 3~5회,규칙적인 운동;좋은 식습관;규칙적인 생활,4,6~8시간,전혀 마시지 않는다,일주일에 1~3잔,아니오 (6번으로 이동),,있다,여자,30대,미혼,3~5인 가구,대학교 졸업,취준생^^,소득 없음,
2022/06/07 3:54:00 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민B;오메가3;유산균;루테인, 지아잔틴 등 (눈 건강)",예,예,예,몸의 피로,,예 (1-1번으로 이동),피로회복을 위해;일상의 활력 충전을 위해;건강 유지를 위해,,예,아니오,아니오,예,아니오,아니오,3,3,5,3,1,2,제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격,4,2~3만원 미만,4,2,2,2,유튜브,"포털사이트 (구글, 네이버, 다음 등);네이버카페;지인",3,3,5,5,4,주 3~5회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",5,6~8시간,한달에 1~2회,일주일에 1~3잔,아니오 (6번으로 이동),,없다,남자,20대,미혼,1인 가구,대학교 졸업,전문직,월 200~300만원 미만,
2022/06/07 3:54:49 오후 GMT+9,아니오 (2번으로 이동),,아니오,아니오,아니오,,컴퓨터를 오래 쳐다볼 시,잘 모르겠음 (2번으로 이동),,,예,아니오,예,아니오,아니오,아니오,3,3,3,3,3,3,주변의 효과와 경험담 소개,4,3~4만원 미만,4,4,4,4,유튜브;페이스북;네이버카페;신문/뉴스포털,"유튜브;페이스북;포털사이트 (구글, 네이버, 다음 등)",4,4,3,3,3,한달 1~2회 정도,규칙적인 생활,3,5~6시간,한달에 3~4회,하루에 2잔 이상,예 (5-1번으로 이동),10~20개비 미만,없다,남자,50대,기혼,3~5인 가구,대학원,사무직,월 600~700만원 미만,
2022/06/07 3:55:17 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;밀크씨슬, 우루사 등 (간 건강)",예,예,아니오,피곤할 때,컨디션이 난조일 때,예 (1-1번으로 이동),피로회복을 위해;불규칙한 식사의 영양소 보충을 위해;일상의 활력 충전을 위해;건강 유지를 위해,,아니오,아니오,예,예,예,울렁거림,4,3,4,3,1,2,주변의 효과와 경험담 소개;제조사(상표) 신뢰도;원하는 성분과 그 함량;적정 가격,4,3~4만원 미만,4,4,4,4,유튜브;인스타그램;네이버카페;신문/뉴스포털,유튜브;인스타그램;네이버카페;온라인/모바일앱 커뮤니티 (네이버카페 외),4,4,3,4,4,주 1~2회,규칙적인 운동;좋은 식습관;규칙적인 생활,5,6~8시간,전혀 마시지 않는다,한달에 1~3잔,아니오 (6번으로 이동),,없다,여자,30대,기혼,2인 가구,대학교 졸업,사무직,월 200~300만원 미만,
2022/06/07 3:56:12 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균",예,예,아니오,예전과 같지 않은 몸을 느낄때 건강을 챙겨야 겠다고 생각합니다.,매일 피로하지만 수요일 저녁에 가장 피로합니다.,예 (1-1번으로 이동),피로회복을 위해,,예,아니오,아니오,예,예,아니오,3,2,4,3,5,4,원하는 성분과 그 함량;적정 가격,4,2~3만원 미만,5,4,3,4,유튜브;인스타그램;네이버카페;TV시청,"유튜브;포털사이트 (구글, 네이버, 다음 등);네이버카페",4,4,4,4,4,주 1~2회,"규칙적인 운동;비타민, 무기질 등 영양제 섭취;정기적인 건강검진",5,6~8시간,한달에 1~2회,일주일에 1~3잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 졸업,사무직,월 200~300만원 미만,
2022/06/07 3:56:38 오후 GMT+9,예 (1-1번으로 이동),"비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균",예,아니오,아니오,"평일에 골골댈때, 체력이 떨어지는걸 느낄때",잦은 야근 및 외근,예 (1-1번으로 이동),피로회복을 위해;질병의 예방 및 치료를 위해;일상의 활력 충전을 위해;건강 유지를 위해,,아니오,아니오,아니오,아니오,,,4,4,4,4,1,1,"주변의 효과와 경험담 소개;제조사(상표) 신뢰도;원하는 성분과 그 함량;적정 가격;제품의 형태(알약, 분말, 액상, 발포형)",5,2~3만원 미만,5,4,3,2,유튜브,유튜브,5,5,5,5,5,주 1~2회,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",4,6~8시간,한달에 3~4회,일주일에 1~3잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 졸업,사무직,월 200~300만원 미만,
